Nome do Local,Tipo de Comida,Avaliação,Preço,Localização,Maps Link,Recomendações de Pratos
"Café e um Cheiro","Café","Ótimo","Preço Ok","Asa Norte, Asa Sul, Noroeste","https://www.google.com/maps/search/?api=1&query=Caf%C3%A9%20e%20um%20Cheiro%20Asa%20Norte,%20Asa%20Sul,%20Noroeste%20Brasilia","Minha Sugestão: Tapioca Invertida Carne com Banana"
"Cafezin de Mineiro","Café","Perfeito","Barato","Asa Norte","https://www.google.com/maps/search/?api=1&query=Cafezin%20Asa%20Norte%20Brasilia","Minha Sugestão: Cheescake Goiaba/ Empada e Bolo de Chocolate"
"Caju Limão","Churrasco/Parrilla","Ótimo","Preço Ok","Asa Norte, Sudoeste","https://www.google.com/maps/search/?api=1&query=Caju%20Lim%C3%A3o%20Asa%20Norte,%20Sudoeste%20Brasilia","Minha Sugestão: Carne Acebolada/ Feijoada"
"Calamares","Comida Dia a Dia","Bom","Barato","Asa Norte","https://www.google.com/maps/search/?api=1&query=Calamares%20Asa%20Norte%20Brasilia","Minha Sugestão: Montar o Seu"
"Caminito Parrila","Churrasco/Parrilla","Ótimo","Preço Ok","Asa Norte, Asa Sul, Sudoeste","https://www.google.com/maps/search/?api=1&query=Caminito%20Parrila%20Asa%20Norte,%20Asa%20Sul,%20Sudoeste%20Brasilia","Minha Sugestão: Picanha Alho Negro/ Linguiça"
"Cantina da Massa","Italiano","Bom","Preço Ok","Asa Sul","https://www.google.com/maps/search/?api=1&query=Cantina%20da%20Massa%20Asa%20Sul%20Brasilia","Minha Sugestão: Lasanha Bolonhesa"
"Cantón","Asiático","Bom","Preço Ok","Asa Norte","https://www.google.com/maps/search/?api=1&query=Cant%C3%B3n%20Asa%20Norte%20Brasilia","Minha Sugestão: Arroz de Camarão"
"Cantucci Osteria","Italiano","Bom","Caro","Asa Norte, Asa Sul","https://www.google.com/maps/search/?api=1&query=Cantucci%20Osteria%20Asa%20Norte,%20Asa%20Sul%20Brasilia","Minha Sugestão: Beef Wellignton"
"Careca","Asiático","Ótimo","Barato","Asa Norte","https://www.google.com/maps/search/?api=1&query=Careca%20Asa%20Norte%20Brasilia","Minha Sugestão: Qualquer Prato de Frango/ Macarrão Frito"
"Casa Almeria","Café","Ótimo","Preço Ok","Asa Sul","https://www.google.com/maps/search/?api=1&query=Casa%20Almeria%20Asa%20Sul%20Brasilia","Minha Sugestão: Toast Avocado/ Sanduiche Pastrami/ Batata com Brisket"
"Casa Doce","Café","Bom","Preço Ok","Asa Sul","https://www.google.com/maps/search/?api=1&query=Casa%20Doce%20Asa%20Sul%20Brasilia","Minha Sugestão: Eclair de Baunilha"
"Casarão","Comida Dia a Dia","Ótimo","Preço Ok","Vila Planalto","https://www.google.com/maps/search/?api=1&query=Casar%C3%A3o%20Vila%20Planalto%20Brasilia","Minha Sugestão: Montar o Seu"
"Castália","Café","Ótimo","Preço Ok","Asa Sul","https://www.google.com/maps/search/?api=1&query=Cast%C3%A1lia%20Asa%20Sul%20Brasilia","Minha Sugestão: Ovos da Mama/ Sanduiche Pastrami"
"Chicago Prime","Churrasco/Parrilla","Ótimo","Muito Caro","Asa Sul","https://www.google.com/maps/search/?api=1&query=Chicago%20Prime%20Asa%20Sul%20Brasilia","Minha Sugestão: Linguiça Apimentada"
"Clandestino","Café","Bom","Preço Ok","Asa Norte","https://www.google.com/maps/search/?api=1&query=Clandestino%20Asa%20Norte%20Brasilia","Minha Sugestão: Toast Avocado"
"Confraria do Camarão","Frutos do Mar","Ótimo","Caro","Asa Sul","https://www.google.com/maps/search/?api=1&query=Confraria%20do%20Camar%C3%A3o%20Asa%20Sul%20Brasilia","Minha Sugestão: Camarão Thai"
"Da Rô Restaurante","Comida Dia a Dia","Bom","Preço Ok","Asa Norte","https://www.google.com/maps/search/?api=1&query=Da%20R%C3%B4%20Restaurante%20Asa%20Norte%20Brasilia","Minha Sugestão: Montar o Seu"
"Dog da Igrejinha","Cachorro Quente","Ótimo","Barato","Asa Sul, Asa Norte","https://www.google.com/maps/search/?api=1&query=Dog%20da%20Igrejinha%20Asa%20Sul,%20Asa%20Norte%20Brasilia","Minha Sugestão: Chapa Dupla"
"Dog do Bartô","Cachorro Quente","Bom","Barato","Asa Norte","https://www.google.com/maps/search/?api=1&query=Dog%20do%20Bart%C3%B4%20Asa%20Norte%20Brasilia","Minha Sugestão: Duplo"
"Domaine","Italiano","Ótimo","Caro","Asa Sul","https://www.google.com/maps/search/?api=1&query=Domaine%20Asa%20Sul%20Brasilia","Minha Sugestão: Risoto com File e Rapadura"
"Dona Lenha","Mediterrâneo/Gourmet","Bom","Caro","Asa Norte, Asa Sul","https://www.google.com/maps/search/?api=1&query=Dona%20Lenha%20Asa%20Norte,%20Asa%20Sul%20Brasilia","Minha Sugestão: Parmegiana"
"Donburi","Asiático","Ótimo","Preço Ok","Asa Norte, Asa Sul","https://www.google.com/maps/search/?api=1&query=Donburi%20Asa%20Norte,%20Asa%20Sul%20Brasilia","Minha Sugestão: Misso Lamen/ KFC Chicken"
"Dudu Bar","Churrasco/Parrilla","Ótimo","Muito Caro","Asa Sul","https://www.google.com/maps/search/?api=1&query=Dudu%20Bar%20Asa%20Sul%20Brasilia","Minha Sugestão: Picanha com Batata"
"El Paso","Mexicano","Ótimo","Preço Ok","Asa Norte, Asa Sul","https://www.google.com/maps/search/?api=1&query=El%20Paso%20Asa%20Norte,%20Asa%20Sul%20Brasilia","Minha Sugestão: Seleção Familia"
"Engenho","Comida Dia a Dia","Ótimo","Preço Ok","Asa Sul","https://www.google.com/maps/search/?api=1&query=Engenho%20Asa%20Sul%20Brasilia","Minha Sugestão: Montar o Seu"
"Ernesto Cafe","Café","Ótimo","Preço Ok","Asa Norte, Asa Sul","https://www.google.com/maps/search/?api=1&query=Ernesto%20Asa%20Norte,%20Asa%20Sul%20Brasilia","Minha Sugestão: Sanduiche de Frango/ Toast Caprese"
"Esquina Restaurante","Comida Dia a Dia","Bom","Barato","Asa Norte","https://www.google.com/maps/search/?api=1&query=Esquina%20Restaurante%20Asa%20Norte%20Brasilia","Minha Sugestão: Montar o Seu"
"Fausto Manoel","Churrasco/Parrilla","Ótimo","Preço Ok","Asa Norte, Asa Sul, Sudoeste","https://www.google.com/maps/search/?api=1&query=Fausto%20Manoel%20Asa%20Norte,%20Asa%20Sul,%20Sudoeste%20Brasilia","Minha Sugestão: Tudo do Happy Hour"
"Fratello Uno","Pizza","Ótimo","Caro","Asa Norte, Asa Sul","https://www.google.com/maps/search/?api=1&query=Fratello%20Uno%20Asa%20Norte,%20Asa%20Sul%20Brasilia","Minha Sugestão: Calabresa/ 4 Queijos"
"Fuego Alma Vino","Churrasco/Parrilla","Perfeito","Muito Caro","Asa Sul","https://www.google.com/maps/search/?api=1&query=Fuego%20Alma%20Vino%20Asa%20Sul%20Brasilia","Minha Sugestão: Contra File / Ancho/ Bife Vazio"
"Galeteria Serrana","Comida Dia a Dia","Bom","Barato","Asa Norte","https://www.google.com/maps/search/?api=1&query=Galeteria%20Serrana%20Asa%20Norte%20Brasilia","Minha Sugestão: Marmita com Galeto"
"Geleia/Concorrente","Hambúrguer","Bom","Preço Ok","Asa Sul, Asa Norte","https://www.google.com/maps/search/?api=1&query=Geleia/Concorrente%20Asa%20Sul,%20Asa%20Norte%20Brasilia","Minha Sugestão: Lago Sul"
"Italianíssimo","Italiano","Perfeito","Muito Caro","Asa Norte","https://www.google.com/maps/search/?api=1&query=Italian%C3%ADssimo%20Asa%20Norte%20Brasilia","Minha Sugestão: Filleto In Crosta"
"IVV Swine Bar","Mediterrâneo/Gourmet","Perfeito","Muito Caro","Asa Norte","https://www.google.com/maps/search/?api=1&query=IVV%20Swine%20Bar%20Asa%20Norte%20Brasilia","Minha Sugestão: Bruscheta"
"Izzi Wine Garden","Mediterrâneo/Gourmet","Ainda Não Fui","","Lago Sul","https://www.google.com/maps/search/?api=1&query=Izzi%20Wine%20Garden%20Lago%20Sul%20Brasilia","Minha Sugestão: "
"Jamburita","Regional","Ótimo","Caro","Asa Norte","https://www.google.com/maps/search/?api=1&query=Jamburita%20Asa%20Norte%20Brasilia","Minha Sugestão: Choripato"
"Jijoca","Frutos do Mar","Bom","Caro","Asa Sul","https://www.google.com/maps/search/?api=1&query=Jijoca%20Asa%20Sul%20Brasilia","Minha Sugestão: Salmão com Camarão"
"Katsu ","Asiático","Bom","Preço Ok","Asa Norte, Asa Sul","https://www.google.com/maps/search/?api=1&query=Katsu%20Asa%20Norte,%20Asa%20Sul%20Brasilia","Minha Sugestão: Lamen Spicy/ Kara Chicken"
"Laminatto","Italiano","Ótimo","Barato","Asa Norte","https://www.google.com/maps/search/?api=1&query=Laminatto%20Asa%20Norte%20Brasilia","Minha Sugestão: Moda da Casa Filé"
"LifeBox","Hambúrguer","Bom","Caro","Lago Sul","https://www.google.com/maps/search/?api=1&query=LifeBox%20Lago%20Sul%20Brasilia","Minha Sugestão: Agridoce"
"Lola Lamen","Asiático","Perfeito","Barato","Asa Norte","https://www.google.com/maps/search/?api=1&query=Lola%20Lamen%20Asa%20Norte%20Brasilia","Minha Sugestão: Lamen Copa Lombo/ Gyoza/ Yakissoba de Frango"
"Long","Asiático","Ótimo","Barato","Asa Sul","https://www.google.com/maps/search/?api=1&query=Long%20Asa%20Sul%20Brasilia","Minha Sugestão: Carne Desfiada"
"Madre Teresa Deli","Hambúrguer","Ótimo","Caro","Taguatinga","https://www.google.com/maps/search/?api=1&query=Madre%20Teresa%20Taguatinga%20Brasilia","Minha Sugestão: Ministro"
"Mana Poke","Asiático","Ótimo","Preço Ok","Asa Sul, Asa Norte","https://www.google.com/maps/search/?api=1&query=Mana%20Poke%20Asa%20Sul,%20Asa%20Norte%20Brasilia","Minha Sugestão: Montar o Seu"
"Manara","Árabe","Ótimo","Preço Ok","Asa Sul","https://www.google.com/maps/search/?api=1&query=Manara%20Asa%20Sul%20Brasilia","Minha Sugestão: Montar o Seu"
"Manzuá","Frutos do Mar","Bom","Caro","Lago Sul","https://www.google.com/maps/search/?api=1&query=Manzu%C3%A1%20Lago%20Sul%20Brasilia","Minha Sugestão: Bobó de Camarão"
"Marilda","Café","Bom","Preço Ok","Asa Norte","https://www.google.com/maps/search/?api=1&query=Marilda%20Asa%20Norte%20Brasilia","Minha Sugestão: Sanduiche com Carne e Abacaxi/ Chocolate Quente"
"Marvin","Hambúrguer","Ótimo","Preço Ok","Asa Norte, Asa Sul","https://www.google.com/maps/search/?api=1&query=Marvin%20Asa%20Norte,%20Asa%20Sul%20Brasilia","Minha Sugestão: Mandacuru"
"Marietta","Comida Dia a Dia","Ótimo","Preço Ok","Asa Norte","https://www.google.com/maps/search/?api=1&query=Marietta%20Asa%20Norte%20Brasilia","Minha Sugestão: Sanduíche Frango com Pesto/ Salpicão"
"Marzuk","Árabe","Ótimo","Preço Ok","Asa Norte","https://www.google.com/maps/search/?api=1&query=Marzuk%20Asa%20Norte%20Brasilia","Minha Sugestão: Kibe/ Esfirra"
"Meatz","Hambúrguer","Perfeito","Preço Ok","Asa Norte, Asa Sul, Sudoeste","https://www.google.com/maps/search/?api=1&query=Meatz%20Asa%20Norte,%20Asa%20Sul,%20Sudoeste%20Brasilia","Minha Sugestão: Baconz"
"Mercado del Puerto","Churrasco/Parrilla","Ótimo","Muito Caro","Asa Sul","https://www.google.com/maps/search/?api=1&query=Mercado%20del%20Puerto%20Asa%20Sul%20Brasilia","Minha Sugestão: Assado de Tiras"
"Minas Restaurante","Comida Dia a Dia","Ótimo","Preço Ok","Asa Norte, Asa Sul","https://www.google.com/maps/search/?api=1&query=Minas%20Restaurante%20Asa%20Norte,%20Asa%20Sul%20Brasilia","Minha Sugestão: Montar o Seu"
"Nazo","Asiático","Perfeito","Caro","Asa Norte, Asa Sul, Sudoeste","https://www.google.com/maps/search/?api=1&query=Nazo%20Asa%20Norte,%20Asa%20Sul,%20Sudoeste%20Brasilia","Minha Sugestão: Rodizio/ Seleção Premium"
"Nonna Augusta","Italiano","Ótimo","Caro","Asa Norte","https://www.google.com/maps/search/?api=1&query=Nonna%20Augusta%20Asa%20Norte%20Brasilia","Minha Sugestão: Lasanha Bolonhesa"
"Number One","Hambúrguer","Perfeito","Preço Ok","Noroeste","https://www.google.com/maps/search/?api=1&query=Number%20One%20Noroeste%20Brasilia","Minha Sugestão: Primeiro Milhão"
"Ouriço","Frutos do Mar","Perfeito","Caro","Asa Sul","https://www.google.com/maps/search/?api=1&query=Ouri%C3%A7o%20Asa%20Sul%20Brasilia","Minha Sugestão: Bobó de Camarão/ Risoto de Camarão"
"Padaria Cinco Estrelas","Café","Bom","Barato","Asa Sul, Noroeste","https://www.google.com/maps/search/?api=1&query=Padaria%20Cinco%20Estrelas%20Asa%20Sul,%20Noroeste%20Brasilia","Minha Sugestão: Tapioca Carne com Queijo Coalho"
"Padaria Francesa","Café","Ótimo","Barato","Asa Norte","https://www.google.com/maps/search/?api=1&query=Padaria%20Francesa%20Asa%20Norte%20Brasilia","Minha Sugestão: Le Classique/ Brioche de Parma/ Croissant"
"Primo Grano","Pizza","Ótimo","Caro","Asa Norte","https://www.google.com/maps/search/?api=1&query=Primo%20Grano%20Asa%20Norte%20Brasilia","Minha Sugestão: Pêra e Gorgonzola/ Caprese"
"Primo Piato","Pizza","Ótimo","Barato","Asa Norte","https://www.google.com/maps/search/?api=1&query=Primo%20Piato%20Asa%20Norte%20Brasilia","Minha Sugestão: Rodízio/ Peperoni/ Bacon"
"Queen Place","Café","Ótimo","Caro","Asa Sul","https://www.google.com/maps/search/?api=1&query=Queen%20Place%20Asa%20Sul%20Brasilia","Minha Sugestão: Kings Breakfast"
"Restaurante Dom João" , "Comida Dia a Dia", "Ótimo", "Barato", "Asa Norte", "https://maps.app.goo.gl/baM89xdkoUoaeAfq5", "Minha Sugestão: Montar o Seu"
"Ricco Buguer","Hambúrguer","Bom","Caro","Asa Sul, Asa Norte","https://www.google.com/maps/search/?api=1&query=Ricco%20Buguer%20Asa%20Sul,%20Asa%20Norte%20Brasilia","Minha Sugestão: Ricco Bacon"
"Rio Bistrô","Italiano","Bom","Preço Ok","Asa Sul","https://www.google.com/maps/search/?api=1&query=Rio%20Bistr%C3%B4%20Asa%20Sul%20Brasilia","Minha Sugestão: Risoto de Camarão"
"Sal e Brasa","Churrasco/Parrilla","Ótimo","Preço Ok","Asa Norte","https://www.google.com/maps/search/?api=1&query=Sal%20e%20Brasa%20Asa%20Norte%20Brasilia","Minha Sugestão: Rodizio"
"Same Same","Asiático","Bom","Caro","Asa Sul","https://www.google.com/maps/search/?api=1&query=Same%20Same%20Asa%20Sul%20Brasilia","Minha Sugestão: Pad Thai"
"Santé","Mediterrâneo/Gourmet","Ótimo","Muito Caro","Asa Norte, Lago Sul","https://www.google.com/maps/search/?api=1&query=Sant%C3%A9%20Asa%20Norte,%20Lago%20Sul%20Brasilia","Minha Sugestão: Filé com Mandioca"
"Soban","Asiático","Ótimo","Preço Ok","Asa Sul","https://www.google.com/maps/search/?api=1&query=Soban%20Asa%20Sul%20Brasilia","Minha Sugestão: Frango Karaague/ Churrasco Coreano"
"Solo","Italiano","Ainda Não Fui","","Asa Sul","https://www.google.com/maps/search/?api=1&query=Solo%20Asa%20Sul%20Brasilia","Minha Sugestão: "
"Spot","Hambúrguer","Bom","Preço Ok","Asa Norte, Asa Sul, Sudoeste","https://www.google.com/maps/search/?api=1&query=Spot%20Asa%20Norte,%20Asa%20Sul,%20Sudoeste%20Brasilia","Minha Sugestão: Batata Rústica"
"Shoio","Asiático","Ótimo","Caro","Asa Sul","https://www.google.com/maps/search/?api=1&query=Shoio%20Asa%20Sul%20Brasilia","Minha Sugestão: Saitama / Yakissoba Misto"
"Sunsaki","Asiático","Ótimo","Muito Caro","Asa Sul","https://www.google.com/maps/search/?api=1&query=Sunsaki%20Asa%20Sul%20Brasilia","Minha Sugestão: Combo Salmão"
"SuperQuadra","Churrasco/Parrilla","Bom","Preço Ok","Asa Norte","https://www.google.com/maps/search/?api=1&query=SuperQuadra%20Asa%20Norte%20Brasilia","Minha Sugestão: Arroz de Costela"
"Taikan","Asiático","Bom","Preço Ok","Asa Norte, Asa Sul","https://www.google.com/maps/search/?api=1&query=Taikan%20Asa%20Norte,%20Asa%20Sul%20Brasilia","Minha Sugestão: Montar o Seu"
"Taypá","Asiático","Perfeito","Muito Caro","Lago Sul","https://www.google.com/maps/search/?api=1&query=Tayp%C3%A1%20Lago%20Sul%20Brasilia","Minha Sugestão: Ceviche/ Pato Assado/ Ossobuco"
"Valentina","Pizza","Perfeito","Caro","Asa Norte, Asa Sul","https://www.google.com/maps/search/?api=1&query=Valentina%20Asa%20Norte,%20Asa%20Sul%20Brasilia","Minha Sugestão: Camarão com Mel/ Bacon with Rapadura/ Toscana"
"Varanda do Sul","Comida Dia a Dia","Ótimo","Preço Ok","Asa Norte, Asa Sul","https://www.google.com/maps/search/?api=1&query=Varanda%20do%20Sul%20Asa%20Norte,%20Asa%20Sul%20Brasilia","Minha Sugestão: Montar o Seu"
"Verona","Italiano","Ainda Não Fui","","Asa Sul","https://www.google.com/maps/search/?api=1&query=Verona%20Asa%20Sul%20Brasilia","Minha Sugestão: "
"Vitorino","Pizza","Bom","Preço Ok","Asa Sul","https://www.google.com/maps/search/?api=1&query=Vitorino%20Asa%20Sul%20Brasilia","Minha Sugestão: Rodizio"
"Xique-Xique","Regional","Ótimo","Preço Ok","Asa Norte","https://www.google.com/maps/search/?api=1&query=Xique-Xique%20Asa%20Norte%20Brasilia","Minha Sugestão: Combo Completo"
"Vamos Queridos","Árabe","Ótimo","Barato","Sudoeste","https://www.google.com/maps/search/?api=1&query=Yalla%20Habib%20Sudoeste%20Brasilia","Minha Sugestão: Shawarma de Frango"
"Zimbrus","Comida Dia a Dia","Ótimo","Barato","Asa Sul","https://www.google.com/maps/search/?api=1&query=Zimbrus%20Asa%20Sul%20Brasilia","Minha Sugestão: Peixe Empanado/ Coxa e Sobrecoxa/ Montar Salada"




